event_date,n_events,mean_event_ret,bench_ret,mean_excess,total_excess
2024-01-05,1,-4.93,-1.06,-3.87,-3.87
2024-01-10,1,0.304,-1.92,2.224,2.224
2024-01-11,5,-1.196,-4.235,3.04,15.198
2024-01-12,1,-1.783,-4.546,2.763,2.763
2024-01-15,1,-21.3,-10.098,-11.202,-11.202
2024-01-17,1,3.876,-5.186,9.062,9.062
2024-01-18,1,-8.934,-1.531,-7.403,-7.403
2024-01-19,2,3.915,-0.277,4.192,8.384
2024-01-23,10,3.898,-1.439,5.337,53.375
2024-01-24,23,-3.799,-7.35,3.551,81.666
2024-01-25,17,-15.815,-11.793,-4.022,-68.382
2024-01-31,2,2.688,-11.286,13.974,27.948
2024-02-01,6,-1.87,-5.249,3.379,20.273
2024-02-02,7,1.582,3.027,-1.445,-10.118
2024-02-05,7,14.068,15.588,-1.52,-10.639
2024-02-06,116,10.605,11.45,-0.845,-98.007
2024-02-07,20,14.234,16.535,-2.3,-46.01
2024-02-08,505,21.318,10.774,10.544,5324.627
2024-02-19,11,26.007,10.084,15.924,175.16
2024-02-20,1,16.759,12.226,4.533,4.533
2024-03-04,1,6.041,2.372,3.669,3.669
2024-03-12,1,7.114,2.753,4.361,4.361
2024-03-25,1,-1.091,2.921,-4.011,-4.011
2024-03-27,3,15.849,5.31,10.539,31.616
2024-03-28,7,-3.957,0.41,-4.367,-30.571
2024-03-29,3,-2.034,0.225,-2.259,-6.776
2024-04-11,1,-10.398,-4.908,-5.49,-5.49
2024-04-12,2,-3.925,-4.13,0.204,0.409
2024-04-16,2,-1.007,4.419,-5.426,-10.852
2024-04-17,13,2.752,1.077,1.675,21.778
2024-04-18,1,9.653,2.128,7.524,7.524
2024-04-19,2,-4.617,3.955,-8.573,-17.145
2024-04-22,1,-4.828,7.171,-11.999,-11.999
2024-04-24,1,13.25,6.606,6.644,6.644
2024-04-26,1,5.746,3.739,2.006,2.006
2024-04-29,1,-1.653,2.359,-4.012,-4.012
2024-05-06,2,-7.943,-1.711,-6.232,-12.464
2024-05-09,2,5.472,-1.796,7.268,14.537
2024-05-14,4,0.008,0.607,-0.599,-2.398
2024-05-16,2,-3.368,-1.225,-2.143,-4.285
2024-05-17,1,-6.459,-3.384,-3.075,-3.075
2024-05-24,2,2.228,-0.692,2.92,5.84
2024-05-27,3,0.335,-2.738,3.073,9.218
2024-05-28,2,2.69,-2.257,4.947,9.895
2024-05-29,2,0.873,-4.3,5.173,10.345
2024-05-30,3,4.957,-7.316,12.273,36.819
2024-05-31,4,-9.801,-6.147,-3.655,-14.619
2024-06-04,4,9.466,-1.737,11.203,44.813
2024-06-05,2,-4.23,-0.852,-3.378,-6.755
2024-06-06,1,-16.004,2.237,-18.24,-18.24
2024-06-07,23,0.038,0.996,-0.958,-22.045
2024-06-11,6,3.784,1.582,2.202,13.212
2024-06-12,2,-3.307,-0.446,-2.861,-5.721
2024-06-13,3,-1.055,-1.826,0.771,2.313
2024-06-17,1,-3.333,-5.185,1.852,1.852
2024-06-18,1,-5.479,-6.317,0.838,0.838
2024-06-21,1,4.16,-1.305,5.465,5.465
2024-06-24,1,10.87,2.651,8.218,8.218
2024-06-25,8,3.295,2.882,0.412,3.298
2024-06-26,24,-1.282,-0.662,-0.62,-14.876
2024-06-27,2,-3.256,-1.617,-1.639,-3.278
2024-06-28,3,-6.755,-1.279,-5.477,-16.43
2024-07-01,2,1.863,-4.926,6.788,13.577
2024-07-03,1,-7.733,-3.367,-4.366,-4.366
2024-07-04,1,16.565,2.408,14.157,14.157
2024-07-05,2,-0.064,1.221,-1.285,-2.57
2024-07-08,1,5.943,2.298,3.645,3.645
2024-07-09,15,1.521,0.966,0.555,8.33
2024-07-10,3,0.689,-1.194,1.883,5.649
2024-07-11,2,7.493,-2.689,10.182,20.364
2024-07-15,2,35.727,-0.046,35.773,71.547
2024-07-17,2,8.593,-1.706,10.299,20.598
2024-07-18,1,13.462,-1.421,14.883,14.883
2024-07-19,3,-2.556,-0.654,-1.902,-5.705
2024-07-23,2,3.92,1.939,1.981,3.961
2024-07-25,2,2.179,5.724,-3.545,-7.091
2024-07-26,2,-3.187,2.8,-5.986,-11.973
2024-07-29,2,0.094,0.516,-0.422,-0.845
2024-07-31,1,-6.455,-1.649,-4.806,-4.806
2024-08-06,1,26.624,-0.777,27.401,27.401
2024-08-07,4,-2.739,-0.944,-1.795,-7.182
2024-08-12,2,-1.721,0.477,-2.199,-4.398
2024-08-13,3,-4.154,-2.048,-2.106,-6.319
2024-08-14,1,-13.311,-1.595,-11.715,-11.715
2024-08-15,1,-11.862,-4.271,-7.59,-7.59
2024-08-16,1,-4.013,-3.882,-0.13,-0.13
2024-08-19,2,-3.158,-2.673,-0.484,-0.969
2024-08-21,1,3.761,-1.793,5.554,5.554
2024-08-23,3,-1.01,3.449,-4.459,-13.378
2024-08-26,6,0.937,1.12,-0.182,-1.095
2024-08-27,2,-0.248,3.532,-3.78,-7.56
2024-08-28,1,16.481,2.434,14.047,14.047
2024-08-29,1,4.082,1.614,2.468,2.468
2024-08-30,2,-4.018,-1.899,-2.119,-4.237
2024-09-06,1,-10.657,-1.215,-9.442,-9.442
2024-09-09,2,-2.183,-2.228,0.045,0.09
2024-09-11,1,-6.185,-0.056,-6.129,-6.129
2024-09-12,1,0.0,0.427,-0.427,-0.427
