stock_code,stock_name,n_events,mean_excess,total_excess
sh600052,东望时代,1,6.854,6.854
sh600055,万东医疗,1,-2.484,-2.484
sh600058,五矿发展,1,-5.867,-5.867
sh600097,开创国际,1,15.271,15.271
sh600111,北方稀土,1,-6.905,-6.905
sh600113,浙江东日,1,3.313,3.313
sh600127,金健米业,1,-4.406,-4.406
sh600148,长春一东,1,9.395,9.395
sh600151,航天机电,1,-2.09,-2.09
sh600152,维科技术,1,11.525,11.525
sh600178,东安动力,1,-11.715,-11.715
sh600180,*ST瑞茂,1,-1.907,-1.907
sh600203,福日电子,1,17.335,17.335
sh600211,西藏药业,1,-4.991,-4.991
sh600221,海航控股,1,4.049,4.049
sh600222,太龙药业,1,2.873,2.873
sh600229,城市传媒,1,2.832,2.832
sh600231,凌钢股份,1,-0.067,-0.067
sh600287,苏豪时尚,1,10.469,10.469
sh600288,大恒科技,1,12.193,12.193
sh600322,津投城开,1,-2.67,-2.67
sh600331,宏达股份,1,13.312,13.312
sh600337,ST美克,1,0.838,0.838
sh600338,西藏珠峰,1,-6.19,-6.19
sh600340,*ST华幸,1,-4.012,-4.012
sh600345,长江通信,1,18.273,18.273
sh600379,宝光股份,1,-8.408,-8.408
sh600388,龙净环保,1,-5.718,-5.718
sh600389,江山股份,1,-5.373,-5.373
sh600455,博通股份,1,12.313,12.313
sh600470,六国化工,1,5.153,5.153
sh600488,津药药业,1,-0.248,-0.248
sh600493,凤竹纺织,1,-6.361,-6.361
sh600513,联环药业,1,-5.725,-5.725
sh600531,豫光金铅,1,0.787,0.787
sh600545,卓郎智能,1,14.807,14.807
sh600549,厦门钨业,1,-6.713,-6.713
sh600562,国睿科技,1,4.077,4.077
sh600567,山鹰国际,1,8.218,8.218
sh600587,新华医疗,1,0.143,0.143
sh600594,益佰制药,1,-5.559,-5.559
sh600596,新安股份,1,-2.778,-2.778
sh600605,汇通能源,1,22.494,22.494
sh600629,华建集团,1,21.181,21.181
sh600638,新黄浦,1,-8.394,-8.394
sh600639,浦东金桥,1,27.86,27.86
sh600640,国脉文化,1,-3.883,-3.883
sh600644,乐山电力,1,2.844,2.844
sh600645,中源协和,1,0.088,0.088
sh600650,锦江在线,1,5.121,5.121
sh600653,申华控股,1,27.471,27.471
sh600661,昂立教育,1,7.833,7.833
sh600662,外服控股,1,-11.591,-11.591
sh600665,天地源,1,8.745,8.745
sh600690,海尔智家,1,-7.148,-7.148
sh600696,*ST岩石,1,10.814,10.814
sh600697,欧亚集团,1,-8.163,-8.163
sh600698,湖南天雁,1,12.969,12.969
sh600714,金瑞矿业,1,9.014,9.014
sh600715,文投控股,1,33.67,33.67
sh600721,百花医药,1,-4.761,-4.761
sh600746,江苏索普,1,-7.958,-7.958
sh600793,宜宾纸业,1,0.854,0.854
sh600802,福建水泥,1,7.522,7.522
sh600829,人民同泰,1,-0.166,-0.166
sh600831,广电网络,1,7.564,7.564
sh600854,春兰股份,1,3.31,3.31
sh600866,星湖科技,1,-7.071,-7.071
sh600869,远东股份,1,12.109,12.109
sh600884,杉杉股份,1,-1.533,-1.533
sh600965,*ST福成,1,1.004,1.004
sh600966,博汇纸业,1,-7.075,-7.075
sh600983,惠而浦,1,-0.228,-0.228
sh600984,建设机械,1,2.671,2.671
sh600987,航民股份,1,-5.403,-5.403
sh601022,宁波远洋,1,8.155,8.155
sh601038,一拖股份,1,-4.064,-4.064
sh601133,柏诚股份,1,-3.475,-3.475
sh601156,东航物流,1,0.832,0.832
sh601208,东材科技,1,-7.289,-7.289
sh601231,环旭电子,1,-6.742,-6.742
sh601311,骆驼股份,1,-3.241,-3.241
sh601366,利群股份,1,2.203,2.203
sh601500,通用股份,1,-4.433,-4.433
